"postal_code","town","lease_commenced"
"510759","PASIR RIS","1996-11-01"
"751359","SEMBAWANG","2001-09-01"
"530511","HOUGANG","1986-05-01"
"730733","WOODLANDS","1997-09-01"
"100074","BUKIT MERAH","1978-01-01"
"730774","WOODLANDS","1997-10-01"
"730024","WOODLANDS","1977-06-01"
"150164","BUKIT MERAH","1980-08-01"
"762506","YISHUN",NULL
"600239","JURONG EAST","1982-11-01"
"140030","QUEENSTOWN","1973-01-01"
"141090","QUEENSTOWN","2008-08-01"
"143043","QUEENSTOWN",NULL
"730897","WOODLANDS","1997-09-01"
"410102","BEDOK","1989-07-01"
"730881","WOODLANDS","1996-06-01"
"730104","WOODLANDS","1985-04-01"
"730503","WOODLANDS","1998-12-01"
"271021","QUEENSTOWN","1975-01-01"
"141031","QUEENSTOWN","1973-01-01"
"140088","QUEENSTOWN","1967-01-01"
"141029","QUEENSTOWN","1970-06-01"
"320001","KALLANG/WHAMPOA","1976-05-01"
"460012","BEDOK",NULL
"730111","WOODLANDS","1995-01-01"
"730215","WOODLANDS","1980-11-01"
"730714","WOODLANDS","1997-04-01"
"142093","QUEENSTOWN","2016-04-01"
"566226","ANG MO KIO","1994-03-01"
"730501","WOODLANDS","1998-12-01"
"730613","WOODLANDS","1998-08-01"
"730661","WOODLANDS","1998-02-01"
"730515","WOODLANDS","1999-03-01"
"140064","QUEENSTOWN","1969-01-01"
"730550","WOODLANDS","2000-02-01"
"730139","WOODLANDS","1995-04-01"
"730848","WOODLANDS","1995-03-01"
"150093","BUKIT MERAH",NULL
"730554","WOODLANDS","1999-12-01"
"521606","TAMPINES",NULL
"680707","CHOA CHU KANG","1995-05-01"
"680708","CHOA CHU KANG","1995-05-01"
"730839","WOODLANDS","1996-08-01"
"510459","PASIR RIS","1992-11-28"
"130023","QUEENSTOWN","1976-07-01"
"730835","WOODLANDS","1994-04-01"
"270005","QUEENSTOWN","1976-07-01"
"730655","WOODLANDS","1998-03-01"
"532997","HOUGANG",NULL
"140111","QUEENSTOWN","1969-01-01"
"730850","WOODLANDS","1995-06-01"
"730609","WOODLANDS","1998-07-01"
"730539","WOODLANDS","2000-08-01"
"733570","WOODLANDS","2013-11-01"
"791455","SENGKANG",NULL
"640920","JURONG WEST","1989-02-01"
"763675","YISHUN",NULL
"730536","WOODLANDS","1999-08-01"
"730586","WOODLANDS","2001-06-01"
"641697","JURONG WEST",NULL
"730669","WOODLANDS","2000-10-01"
"601223","JURONG EAST","1993-05-15"
"730520","WOODLANDS","2000-09-01"
"730134","WOODLANDS","1995-04-01"
"730138","WOODLANDS","1995-04-01"
"522601","TAMPINES",NULL
"134028","QUEENSTOWN","2012-03-01"
"130001","QUEENSTOWN","1975-07-01"
"461187","BEDOK",NULL
"561588","ANG MO KIO","2011-07-27"
"762384","YISHUN",NULL
"651452","BUKIT BATOK",NULL
"730361","WOODLANDS","1996-10-01"
"730824","WOODLANDS","1989-10-01"
"524601","TAMPINES",NULL
"730622","WOODLANDS","1998-08-01"
"731899","WOODLANDS","1997-07-01"
"730653","WOODLANDS","1998-03-01"
"510461","PASIR RIS","1992-11-28"
"140091","QUEENSTOWN","1967-01-01"
"730582","WOODLANDS","2001-04-01"
"730504","WOODLANDS","1999-01-01"
"732899","WOODLANDS","1997-09-01"
"763672","YISHUN",NULL
"550528","SERANGOON","1992-10-23"
"730809","WOODLANDS","1995-11-01"
"550524","SERANGOON","1992-10-23"
"730854","WOODLANDS","1993-08-01"
"730521","WOODLANDS","2000-06-01"
"731887","WOODLANDS","2015-02-01"
"610116","JURONG WEST",NULL
"730860","WOODLANDS","1996-03-01"
"730351","WOODLANDS","1996-09-01"
"732893","WOODLANDS","1996-10-01"
"730872","WOODLANDS","1996-04-01"
"730621","WOODLANDS","1998-06-01"
"600373","JURONG EAST",NULL
"652450","BUKIT BATOK",NULL
"380103","GEYLANG",NULL
"462154","BEDOK",NULL
"822234","PUNGGOL",NULL
"680291","CHOA CHU KANG","1993-06-03"
"822661","PUNGGOL",NULL
"391005","GEYLANG","2000-06-01"
"680292","CHOA CHU KANG","1993-06-03"
"730028","WOODLANDS","1977-04-01"
"140143","QUEENSTOWN","1995-08-01"
"730777","WOODLANDS","1998-01-01"
"760107","YISHUN","1982-05-01"
"733687","WOODLANDS","2003-02-01"
"530852","HOUGANG","1997-02-01"
"752357","SEMBAWANG","2001-06-01"
"143062","QUEENSTOWN","2011-08-01"
"160142","BUKIT MERAH","1979-01-01"
"730743","WOODLANDS","1997-10-01"
"752501","SEMBAWANG","2001-08-01"
"160094","BUKIT MERAH","1983-08-01"
"160075","BUKIT MERAH","1967-01-01"
"161004","BUKIT MERAH","1985-09-01"
"730634","WOODLANDS","1999-08-01"
"735787","WOODLANDS","1997-10-01"
"751468","SEMBAWANG","2001-05-01"
"140048","QUEENSTOWN","2006-12-01"
"730737","WOODLANDS","1998-02-01"
"142056","QUEENSTOWN","1968-07-01"
"570447","BISHAN","1990-01-01"
"730357","WOODLANDS","1996-08-01"
"752590","SEMBAWANG","2015-04-01"
"760119","YISHUN","1985-09-01"
"764381","YISHUN",NULL
"151040","BUKIT MERAH","1997-06-01"
"730820","WOODLANDS","1995-03-01"
"090039","BUKIT MERAH","1976-09-01"
"735780","WOODLANDS","2015-07-01"
"730370","WOODLANDS","1996-11-01"
"102080","BUKIT MERAH","2013-08-01"
"150102","BUKIT MERAH","1970-07-01"
"730649","WOODLANDS","1998-06-01"
"160141","BUKIT MERAH","1979-01-01"
"165022","BUKIT MERAH","1973-01-01"
"751467","SEMBAWANG","2001-07-01"
"751591","SEMBAWANG","2015-04-01"
"560601","ANG MO KIO","1980-06-01"
"754351","SEMBAWANG","2001-12-01"
"140166","QUEENSTOWN","1970-07-01"
"570307","BISHAN","1985-04-01"
"150128","BUKIT MERAH","1973-07-01"
"730715","WOODLANDS","1997-04-01"
"760717","YISHUN","1987-10-01"
"731688","WOODLANDS","2004-01-01"
"561253","ANG MO KIO","1996-03-01"
"760705","YISHUN","1984-06-01"
"150012","BUKIT MERAH","1996-11-01"
"730716","WOODLANDS","1997-06-01"
"100114","BUKIT MERAH","1976-11-01"
"160144","BUKIT MERAH","1981-09-01"
"750304","SEMBAWANG","1998-12-01"
"734788","WOODLANDS","1999-05-01"
"150038","BUKIT MERAH","1997-06-01"
"161058","BUKIT MERAH","2013-05-01"
"750492","SEMBAWANG","2004-04-01"
"160123","BUKIT MERAH","1995-08-01"
"734782","WOODLANDS","2015-06-01"
"527201","TAMPINES","1987-11-01"
"751364","SEMBAWANG",NULL
"151075","BUKIT MERAH","2005-12-01"
"163127","BUKIT MERAH","2013-02-01"
"736786","WOODLANDS","1997-07-01"
"560103","ANG MO KIO","1978-02-01"
"760801","YISHUN","1986-07-01"
"166002","BUKIT MERAH","2001-01-01"
"150104","BUKIT MERAH","1970-07-01"
"160145","BUKIT MERAH","1981-11-01"
"140163","QUEENSTOWN","1970-01-01"
"731684","WOODLANDS","2000-02-01"
"760713","YISHUN","1987-06-01"
"150081","BUKIT MERAH","1996-11-01"
"730788","WOODLANDS","1997-09-01"
"730731","WOODLANDS","1997-09-01"
"730856","WOODLANDS","1996-03-01"
"760101","YISHUN","1978-06-01"
"732683","WOODLANDS","2000-02-01"
"100054","BUKIT MERAH","1978-01-01"
"750336","SEMBAWANG","1999-07-01"
"730866","WOODLANDS","1996-03-01"
"162131","BUKIT MERAH","2002-01-01"
"100086","BUKIT MERAH","2003-04-01"
"730775","WOODLANDS","1997-10-01"
"760709","YISHUN","1984-04-01"
"760808","YISHUN","1987-03-01"
"730701","WOODLANDS","1996-10-01"
"730778","WOODLANDS","1997-12-01"
"150116","BUKIT MERAH","1977-11-01"
"750477","SEMBAWANG","2000-07-01"
"160073","BUKIT MERAH","1967-01-01"
"160129","BUKIT MERAH","1976-01-01"
"164006","BUKIT MERAH","2005-10-01"
"730581","WOODLANDS","2001-05-01"
"752468","SEMBAWANG","2001-05-01"
"140162","QUEENSTOWN","1970-01-01"
"750423","SEMBAWANG","2001-03-01"
"164010","BUKIT MERAH","2016-01-01"
"161053","BUKIT MERAH","2013-05-01"
"140096","QUEENSTOWN","1970-06-01"
"152119","BUKIT MERAH","1983-01-01"
"090024","BUKIT MERAH","1975-05-01"
"101109","BUKIT MERAH","2006-02-01"
"752359","SEMBAWANG","2001-09-01"
"733781","WOODLANDS",NULL
"760708","YISHUN","1984-06-01"
"160143","BUKIT MERAH","1981-12-01"
"730631","WOODLANDS","1998-08-01"
"733686","WOODLANDS","2003-02-01"
"162004","BUKIT MERAH","1971-07-01"
"752339","SEMBAWANG","2001-06-01"
"160072","BUKIT MERAH","1967-01-01"
"141060","QUEENSTOWN","2000-10-01"
"734683","WOODLANDS","2000-02-01"
"162025","BUKIT MERAH","2008-09-01"
"570449","BISHAN","1990-03-01"
"750493","SEMBAWANG","2004-04-01"
"141053","QUEENSTOWN","1968-07-01"
"160081","BUKIT MERAH","1967-01-01"
"140041","QUEENSTOWN","1968-12-01"
"750513","SEMBAWANG","2011-05-01"
"160147","BUKIT MERAH","1982-07-01"
"761795","YISHUN","1986-12-01"
"570442","BISHAN","1990-02-01"
"750424","SEMBAWANG","2001-04-01"
"141083","QUEENSTOWN","1997-07-01"
"150051","BUKIT MERAH","1986-10-01"
"733689","WOODLANDS","2004-02-01"
"150044","BUKIT MERAH","1984-07-01"
"760721","YISHUN","1985-09-01"
"750401","SEMBAWANG","2001-04-01"
"140055","QUEENSTOWN","2002-05-01"
"730760","WOODLANDS","1998-02-01"
"751360","SEMBAWANG","2001-09-01"
"751354","SEMBAWANG","2002-01-01"
"161054","BUKIT MERAH","2013-05-01"
"520204","TAMPINES","1983-12-01"
"100069","BUKIT MERAH","1978-01-01"
"760615","YISHUN","1988-02-01"
"090111","BUKIT MERAH","1984-10-01"
"090020","BUKIT MERAH","1975-03-01"
"150013","BUKIT MERAH","1996-11-01"
"560610","ANG MO KIO","1980-11-01"
"160032","BUKIT MERAH","1971-01-01"
"752593","SEMBAWANG","2015-04-01"
"150036","BUKIT MERAH","1999-03-01"
"560606","ANG MO KIO","1980-06-01"
"080011","BUKIT MERAH","2002-12-01"
"150043","BUKIT MERAH","1986-06-01"
"754466","SEMBAWANG","2006-02-01"
"560256","ANG MO KIO","1977-07-01"
"150083","BUKIT MERAH","1996-11-01"
"750307","SEMBAWANG","1998-10-01"
"162008","CENTRAL AREA","1971-06-01"
"750487","SEMBAWANG","2010-08-01"
"570024","BISHAN","1973-10-01"
"100044","BUKIT MERAH","1976-01-01"
"090028","BUKIT MERAH","1976-05-01"
"570441","BISHAN","1990-02-01"
"140047","QUEENSTOWN","1968-12-01"
"100073","BUKIT MERAH","1978-01-01"
"730632","WOODLANDS","1999-09-01"
"141057","QUEENSTOWN","1968-07-01"
"750407","SEMBAWANG","2001-04-01"
"160132","BUKIT MERAH","1975-05-01"
"160024","BUKIT MERAH","1971-07-01"
"102106","BUKIT MERAH","2000-07-01"
"760841","YISHUN","1988-01-01"
"560114","ANG MO KIO","1978-01-01"
"750337","SEMBAWANG","1999-07-01"
"100076","BUKIT MERAH","1978-01-01"
"560602","ANG MO KIO","1980-06-01"
"090110","BUKIT MERAH","1984-09-01"
"763115","YISHUN","2001-07-01"
"750318","SEMBAWANG","1999-03-01"
"730752","WOODLANDS","1998-01-01"
"090007","BUKIT MERAH","1975-03-01"
"160087","BUKIT MERAH","1974-06-01"
"730789","WOODLANDS","1997-09-01"
"760762","YISHUN","1985-10-01"
"750414","SEMBAWANG","2001-03-01"
"753468","SEMBAWANG","2001-05-01"
"080019","BUKIT MERAH","2002-12-01"
"143061","QUEENSTOWN","2011-08-01"
"751466","SEMBAWANG","2006-02-01"
"730797","WOODLANDS","1997-10-01"
"752351","SEMBAWANG","2001-10-01"
"090105","BUKIT MERAH","1983-02-01"
"730727","WOODLANDS","1997-06-01"
"150050","BUKIT MERAH","1987-01-01"
"760445","YISHUN","2012-07-01"
"560716","ANG MO KIO","1980-06-01"
"160082","BUKIT MERAH","1967-03-23"
"090017","BUKIT MERAH","2002-01-01"
"752592","SEMBAWANG","2015-04-01"
"730792","WOODLANDS","1997-11-01"
"161048","BUKIT MERAH","1973-01-01"
"760790","YISHUN","1987-04-01"
"150037","BUKIT MERAH","1969-07-01"
"753353","SEMBAWANG","2002-02-01"
"163020","BUKIT MERAH","1973-01-01"
"760724","YISHUN","1986-07-01"
"164024","BUKIT MERAH","1973-01-01"
"164127","BUKIT MERAH","2013-02-01"
"090109","BUKIT MERAH","1984-08-01"
"730627","WOODLANDS","1998-08-01"
"081110","BUKIT MERAH","1979-10-01"
"162002","BUKIT MERAH","1971-07-01"
"760217","YISHUN","1985-09-01"
"760735","YISHUN","1985-02-01"
"140130","QUEENSTOWN","1996-08-01"
"570404","BISHAN","1986-07-01"
"141041","QUEENSTOWN","1971-01-01"
"090104","BUKIT MERAH","1984-04-01"
"760158","YISHUN","1985-12-01"
"750316","SEMBAWANG","1999-05-01"
"751352","SEMBAWANG","2001-11-01"
"760781","YISHUN","1988-07-01"
"751503","SEMBAWANG","2001-08-01"
"760725","YISHUN","1987-10-01"
"160033","BUKIT MERAH","1973-01-01"
"730724","WOODLANDS","1997-09-01"
"750406","SEMBAWANG","2001-03-01"
"160022","BUKIT MERAH","1969-07-01"
"160003","BUKIT MERAH","1985-09-01"
"732684","WOODLANDS","2000-02-01"
"080018","BUKIT MERAH","2002-12-01"
"730708","WOODLANDS","1996-12-01"
"732625","WOODLANDS","1998-10-01"
"150165","BUKIT MERAH","1980-08-01"
"760711","YISHUN","1984-06-01"
"750480","SEMBAWANG","2000-08-01"
"160122","BUKIT MERAH","1995-08-01"
"141044","QUEENSTOWN","1968-12-01"
"570451","BISHAN","1990-01-01"
"150101","BUKIT MERAH","1970-07-01"
"751339","SEMBAWANG","2001-06-01"
"760132","YISHUN","1985-02-01"
"760305","YISHUN","1988-03-01"
"570444","BISHAN","1990-02-01"
"160036","BUKIT MERAH","1971-07-01"
"750417","SEMBAWANG","2001-03-01"
"750300","SEMBAWANG","1998-10-01"
"750333","SEMBAWANG","1999-07-01"
"570022","BISHAN","1973-10-01"
"760861","YISHUN","1989-02-01"
"760212","YISHUN","1985-04-01"
"750416","SEMBAWANG","2001-03-01"
"151073","BUKIT MERAH","2005-11-01"
"760282","YISHUN","1988-01-01"
"760284","YISHUN","1987-08-01"
"560107","ANG MO KIO","1978-04-01"
"760872","YISHUN","1988-02-01"
"560223","ANG MO KIO","1978-01-01"
"754468","SEMBAWANG","2001-05-01"
"560616","ANG MO KIO","1996-05-01"
"760716","YISHUN","1987-10-01"
"311101","TOA PAYOH","1993-03-26"
"760262","YISHUN","1985-09-01"
"760714","YISHUN","1988-03-01"
"163017","BUKIT MERAH","1973-01-01"
"080101","BUKIT MERAH","1973-04-01"
"090113","BUKIT MERAH","1984-10-01"
"760643","YISHUN","1987-09-01"
"760793","YISHUN","1992-05-27"
"760275","YISHUN","1986-01-01"
"162119","BUKIT MERAH","2002-12-01"
"760771","YISHUN","1985-10-01"
"760761","YISHUN","1986-04-01"
"150046","BUKIT MERAH","1984-07-01"
"760614","YISHUN","1987-04-01"
"760286","YISHUN","1987-07-01"
"760152","YISHUN","1985-03-01"
"161014","BUKIT MERAH","1970-01-01"
"161042","BUKIT MERAH","1973-01-01"
"752508","SEMBAWANG","2004-08-01"
"760125","YISHUN","1984-12-01"
"560163","ANG MO KIO","1980-10-01"
"161044","BUKIT MERAH","1973-01-01"
"750412","SEMBAWANG","2001-04-01"
"760803","YISHUN","1988-01-01"
"750326","SEMBAWANG","1999-06-01"
"760608","YISHUN","1992-05-27"
"760757","YISHUN","1986-10-01"
"760832","YISHUN","1988-04-01"
"150088","BUKIT MERAH","1995-01-01"
"150117","BUKIT MERAH","1977-11-01"
"151047","BUKIT MERAH","1984-07-01"
"760261","YISHUN","1985-12-01"
"760645","YISHUN","1992-05-27"
"760122","YISHUN","1984-11-01"
"760875","YISHUN","1988-01-01"
"750334","SEMBAWANG","1999-11-01"
"760237","YISHUN","1985-06-01"
"310143","TOA PAYOH","2002-09-01"
"164020","BUKIT MERAH","2003-09-01"
"161002","BUKIT MERAH","1985-09-01"
"081008","BUKIT MERAH","2002-12-01"
"090032","BUKIT MERAH","1976-05-01"
"760291","YISHUN","1992-05-27"
"760630","YISHUN","1988-04-01"
"751593","SEMBAWANG","2015-04-01"
"760785","YISHUN","1988-05-01"
"050034","CENTRAL AREA","1975-06-01"
"760772","YISHUN","1985-10-01"
"560117","ANG MO KIO","1978-05-01"
"163023","BUKIT MERAH","2003-08-01"
"150045","BUKIT MERAH","1984-07-01"
"310120","TOA PAYOH","1968-06-01"
"760850","YISHUN","1988-07-01"
"760113","YISHUN","1986-03-01"
"760126","YISHUN","1984-09-01"
"760822","YISHUN","1992-05-27"
"160130","BUKIT MERAH","1976-01-01"
"751350","SEMBAWANG","2001-09-01"
"750415","SEMBAWANG","2001-02-01"
"750489","SEMBAWANG","2010-08-01"
"750402","SEMBAWANG","2001-04-01"
"560603","ANG MO KIO","1980-06-01"
"750479","SEMBAWANG","2000-07-01"
"570407","BISHAN","1986-08-01"
"160009","CENTRAL AREA","1982-01-01"
"760823","YISHUN","1992-05-27"
"760734","YISHUN","1985-02-01"
"750404","SEMBAWANG","2001-03-01"
"151126","BUKIT MERAH","1996-09-01"
"160046","BUKIT MERAH","1970-01-01"
"760718","YISHUN","1987-03-01"
"570023","BISHAN","1973-10-01"
"760870","YISHUN","1987-12-01"
"091014","BUKIT MERAH","1999-10-01"
"751588","SEMBAWANG","2002-12-01"
"760276","YISHUN","1985-09-01"
"750312","SEMBAWANG","1999-03-01"
"760758","YISHUN","1986-11-01"
"570406","BISHAN","1987-04-01"
"760797","YISHUN","1987-06-01"
"760873","YISHUN","1988-04-01"
"753354","SEMBAWANG","2001-12-01"
"750341","SEMBAWANG","2001-06-01"
"760230","YISHUN","1985-06-01"
"760755","YISHUN","1986-11-01"
"150118","BUKIT MERAH","2003-05-01"
"161029","BUKIT MERAH","1973-01-01"
"750330","SEMBAWANG","1999-07-01"
"752341","SEMBAWANG","2001-06-01"
"760862","YISHUN","1988-07-01"
"760606","YISHUN","1987-11-01"
"310098","TOA PAYOH","1970-01-01"
"161052","BUKIT MERAH","2013-05-01"
"310157","TOA PAYOH","1971-07-01"
"050532","CENTRAL AREA","1980-08-01"
"570448","BISHAN","1990-04-01"
"760764","YISHUN","1985-09-01"
"161034","BUKIT MERAH","1973-01-01"
"760866","YISHUN","1988-02-01"
"760258","YISHUN","1985-05-01"
"085501","CENTRAL AREA","2011-01-01"
"750476","SEMBAWANG","2000-09-01"
"753352","SEMBAWANG","2001-12-01"
"560180","ANG MO KIO","1981-04-01"
"760226","YISHUN","1985-08-01"
"750332","SEMBAWANG","1999-07-01"
"102104","BUKIT MERAH","2000-07-01"
"160074","BUKIT MERAH","1967-01-01"
"161055","BUKIT MERAH","2013-05-01"
"560229","ANG MO KIO","1978-01-01"
"570405","BISHAN","1986-06-01"
"760733","YISHUN","1984-09-01"
"760612","YISHUN","1987-01-01"
"160077","BUKIT MERAH","1973-01-01"
"311138","TOA PAYOH","2012-04-23"
"760878","YISHUN","1988-01-01"
"760731","YISHUN","1984-07-01"
"750475","SEMBAWANG","2000-09-01"
"570305","BISHAN","1985-01-01"
"160135","BUKIT MERAH","1997-01-01"
"160131","BUKIT MERAH","1976-01-01"
"762115","YISHUN","2001-07-01"
"760844","YISHUN","1988-12-01"
"560231","ANG MO KIO","1977-09-01"
"560105","ANG MO KIO","1978-04-01"
"760838","YISHUN","1987-10-01"
"760202","YISHUN","1985-09-01"
"570454","BISHAN","1989-11-01"
"160027","BUKIT MERAH","1973-01-01"
"160001","BUKIT MERAH","1983-06-01"
"080004","BUKIT MERAH","1980-11-01"
"560618","ANG MO KIO","1996-06-01"
"570310","BISHAN","1984-12-01"
"750422","SEMBAWANG","2001-03-01"
"760215","YISHUN","1985-01-01"
"210037","KALLANG/WHAMPOA","1997-11-01"
"750306","SEMBAWANG","1998-11-01"
"750421","SEMBAWANG","2001-03-01"
"760751","YISHUN","1984-04-01"
"090023","BUKIT MERAH","1975-05-01"
"751340","SEMBAWANG","2001-06-01"
"760817","YISHUN","1987-12-01"
"160125","BUKIT MERAH","1995-08-01"
"081007","CENTRAL AREA","1980-05-01"
"760206","YISHUN","1985-01-01"
"760804","YISHUN","1987-02-01"
"163028","BUKIT MERAH","1973-01-01"
"164119","BUKIT MERAH","2002-10-01"
"570445","BISHAN","1990-01-01"
"760712","YISHUN","1984-04-01"
"760165","YISHUN","1988-06-01"
"161056","BUKIT MERAH","2013-05-01"
"760726","YISHUN","1985-10-01"
"760116","YISHUN","1983-06-01"
"760641","YISHUN","1992-05-27"
"760805","YISHUN","1987-05-01"
"165006","BUKIT MERAH","2005-10-01"
"760706","YISHUN","1984-01-01"
"761645","YISHUN","1992-05-27"
"165004","BUKIT MERAH","2005-10-01"
"570452","BISHAN","1989-08-01"
"760273","YISHUN","1986-07-01"
"570025","BISHAN","1974-07-01"
"560233","ANG MO KIO","1977-09-01"
"760786","YISHUN","1987-12-01"
"570401","BISHAN","1985-11-01"
"562226","ANG MO KIO","1994-03-01"
"760208","YISHUN","1985-10-01"
"750405","SEMBAWANG","2001-01-01"
"753588","SEMBAWANG","2003-01-01"
"570302","BISHAN","1984-10-01"
"760257","YISHUN","1986-03-01"
"560113","ANG MO KIO","1978-01-01"
"760777","YISHUN","1987-04-01"
"161019","BUKIT MERAH","1973-01-01"
"760745","YISHUN","1985-01-01"
"760611","YISHUN","1987-11-01"
"160078","BUKIT MERAH","1967-01-01"
"760740","YISHUN","1985-03-01"
"570301","BISHAN","1985-07-01"
"760235","YISHUN","1985-07-01"
"760702","YISHUN","1984-06-01"
"160026","BUKIT MERAH","1969-07-01"
"753350","SEMBAWANG","2001-10-01"
"751353","SEMBAWANG","2002-01-01"
"560622","ANG MO KIO","1980-09-01"
"760147","YISHUN","1985-09-01"
"160007","BUKIT MERAH","1984-07-01"
"380045","GEYLANG","1977-04-01"
"750327","SEMBAWANG","1999-05-01"
"560609","ANG MO KIO","1993-03-28"
"760626","YISHUN","1987-05-01"
"760281","YISHUN","1985-07-01"
"761115","YISHUN","2001-07-01"
"090016","BUKIT MERAH","1975-04-01"
"760769","YISHUN","1986-06-01"
"760927","YISHUN","1993-01-30"
"760172","YISHUN","1988-07-01"
"760625","YISHUN","1987-06-01"
"570290","BISHAN","1998-06-01"
"760223","YISHUN","1986-01-01"
"760701","YISHUN","1984-01-01"
"560604","ANG MO KIO","1980-06-01"
"751502","SEMBAWANG","2001-08-01"
"760756","YISHUN","1985-10-01"
"310086","TOA PAYOH","1997-05-01"
"760926","YISHUN","1993-01-30"
"161121","BUKIT MERAH","2001-02-01"
"080016","BUKIT MERAH","2003-01-01"
"544223","SENGKANG","1999-05-01"
"752353","SEMBAWANG","2002-01-01"
"760135","YISHUN","1985-05-01"
"160139","BUKIT MERAH","1997-01-01"
"760744","YISHUN","1984-08-01"
"080103","BUKIT MERAH","1979-10-01"
"760240","YISHUN","1985-07-01"
"570278","BISHAN","1992-07-22"
"760864","YISHUN","1988-06-01"
"760880","YISHUN","1988-04-01"
"753351","SEMBAWANG","2001-10-01"
"167026","BUKIT MERAH","2009-01-01"
"570110","BISHAN","1986-02-01"
"760742","YISHUN","1985-12-01"
"050536","CENTRAL AREA","1981-05-01"
"760613","YISHUN","1987-04-01"
"570262","BISHAN","1992-07-22"
"760221","YISHUN","1985-06-01"
"310161","TOA PAYOH","1972-01-01"
"760773","YISHUN","1987-01-01"
"310147","TOA PAYOH","2006-01-01"
"310123","TOA PAYOH","1970-01-01"
"750467","SEMBAWANG","2001-07-01"
"753504","SEMBAWANG","2001-08-01"
"760868","YISHUN","1987-11-01"
"761507","YISHUN",NULL
"151125","BUKIT MERAH","1996-09-01"
"570292","BISHAN","1998-06-01"
"760720","YISHUN","1985-07-01"
"161017","BUKIT MERAH","1973-01-01"
"081001","BUKIT MERAH","1980-11-01"
"760112","YISHUN","1985-11-01"
"082001","CENTRAL AREA","1977-02-01"
"761633","YISHUN","1992-05-27"
"081002","BUKIT MERAH","1980-11-01"
"570238","BISHAN","1992-07-22"
"160037","BUKIT MERAH","1974-01-01"
"750490","SEMBAWANG","2010-08-01"
"750473","SEMBAWANG","2000-10-01"
"751463","SEMBAWANG","2015-05-01"
"160030","BUKIT MERAH","1969-07-01"
"760628","YISHUN","1988-03-01"
"151116","BUKIT MERAH","1974-03-01"
"161078","BUKIT MERAH","1982-09-01"
"090042","BUKIT MERAH","1976-04-01"
"760231","YISHUN","1985-06-01"
"750359","SEMBAWANG","2001-09-01"
"761796","YISHUN","1986-12-01"
"760175","YISHUN","1986-09-01"
"760634","YISHUN","1987-10-01"
"090043","BUKIT MERAH","1976-04-01"
"760285","YISHUN","1988-02-01"
"760121","YISHUN","1984-12-01"
"760148","YISHUN","1985-09-01"
"750409","SEMBAWANG","2001-04-01"
"560157","ANG MO KIO","1980-10-01"
"310142","TOA PAYOH","2001-01-01"
"164118","BUKIT MERAH","2003-01-01"
"310113","TOA PAYOH","1967-06-01"
"750303","SEMBAWANG","1998-12-01"
"760728","YISHUN","1987-01-01"
"760605","YISHUN","1988-01-01"
"165008","BUKIT MERAH","2005-10-01"
"751592","SEMBAWANG","2015-04-01"
"313138","TOA PAYOH","2012-04-23"
"570303","BISHAN","1985-03-01"
"760715","YISHUN","1987-06-01"
"570259","BISHAN","1992-07-22"
"310121","TOA PAYOH","2002-01-01"
"470114","BEDOK","1985-11-01"
"160058","BUKIT MERAH","1969-11-01"
"165026","BUKIT MERAH","2009-01-01"
"560613","ANG MO KIO","1996-05-01"
"760328","YISHUN","1988-06-01"
"570313","BISHAN","1985-06-01"
"570502","BISHAN","1989-09-01"
"570204","BISHAN","1992-04-16"
"760719","YISHUN","1987-09-01"
"310175","TOA PAYOH","1974-07-01"
"570210","BISHAN","1992-04-16"
"752509","SEMBAWANG","2004-08-01"
"080007","BUKIT MERAH","1980-11-01"
"760134","YISHUN","1984-09-01"
"760209","YISHUN","1985-06-01"
"090102","BUKIT MERAH","1984-04-01"
"760279","YISHUN","1985-09-01"
"760144","YISHUN","1984-10-01"
"560624","ANG MO KIO","1980-09-01"
"760133","YISHUN","1984-10-01"
"570208","BISHAN","1992-04-16"
"570220","BISHAN","1992-07-22"
"760204","YISHUN","1985-03-01"
"750483","SEMBAWANG","2004-05-01"
"760810","YISHUN","1987-02-01"
"760730","YISHUN","1987-01-01"
"160040","BUKIT MERAH","1971-01-01"
"760259","YISHUN","1986-06-01"
"760753","YISHUN","1986-12-01"
"760650","YISHUN","1992-05-27"
"752589","SEMBAWANG","2002-12-01"
"760602","YISHUN","1987-05-01"
"163018","BUKIT MERAH","1973-01-01"
"160146","BUKIT MERAH","1981-10-01"
"570105","BISHAN","1985-12-01"
"570234","BISHAN","1992-04-16"
"760811","YISHUN","1987-04-01"
"560306","ANG MO KIO","1977-07-01"
"753592","SEMBAWANG","2015-04-01"
"760293","YISHUN","1992-05-27"
"760871","YISHUN","1988-03-01"
"161077","BUKIT MERAH","1967-01-01"
"763336","YISHUN","2015-11-01"
"160045","BUKIT MERAH","1973-01-01"
"310154","TOA PAYOH","2001-02-01"
"760787","YISHUN","1988-03-01"
"570453","BISHAN","1990-02-01"
"152096","BUKIT MERAH",NULL
"161127","BUKIT MERAH","2013-02-01"
"560176","ANG MO KIO","1993-03-28"
"312084","TOA PAYOH","1997-05-01"
"760268","YISHUN","1985-12-01"
"160038","BUKIT MERAH","1971-01-01"
"560608","ANG MO KIO","1980-06-01"
"760657","YISHUN","1987-11-01"
"560109","ANG MO KIO","1978-08-01"
"760660","YISHUN","1987-08-01"
"080013","BUKIT MERAH","2003-01-01"
