"postal_code","town","lease_commenced"
"600228","JURONG EAST","1987-11-01"
"641658","JURONG WEST","2001-05-01"
"640260","JURONG WEST","1995-06-01"
"610330","JURONG WEST","1997-08-01"
"600049","JURONG EAST","1986-10-01"
"650173","BUKIT BATOK","1984-07-01"
"642183","JURONG WEST","2015-01-01"
"600372","JURONG EAST","2014-02-01"
"760763","YISHUN","1987-03-01"
"520942","TAMPINES","1988-10-01"
"640533","JURONG WEST","1982-07-01"
"640695","JURONG WEST","1998-03-01"
"692235","TENGAH",NULL
"562651","ANG MO KIO",NULL
"601215","JURONG EAST","1984-11-01"
"613175","JURONG WEST","2015-05-01"
"640436","JURONG WEST","1985-07-01"
"600317","JURONG EAST","1984-05-01"
"610160","JURONG WEST","1997-01-01"
"640856","JURONG WEST","1996-08-01"
"312139","TOA PAYOH","2012-04-23"
"600103","JURONG EAST","1982-10-01"
"640449","JURONG WEST","1985-02-01"
"600249","JURONG EAST","1983-01-01"
"640462","JURONG WEST","1984-06-01"
"600251","JURONG EAST","1982-07-01"
"561651","ANG MO KIO",NULL
"524858","TAMPINES",NULL
"150130","BUKIT MERAH","1973-07-01"
"320110","KALLANG/WHAMPOA","1987-12-01"
"560120","ANG MO KIO","1978-10-01"
"601225","JURONG EAST","1984-11-01"
"600214","JURONG EAST","1983-03-01"
"640465","JURONG WEST","1984-11-01"
"640744","JURONG WEST","1993-12-01"
"151124","BUKIT MERAH","1996-09-01"
"640965","JURONG WEST","1989-05-01"
"640816","JURONG WEST","1993-09-01"
"640838","JURONG WEST","1989-12-01"
"640557","JURONG WEST","1985-02-01"
"640736","JURONG WEST","1995-08-01"
"610368","JURONG WEST","1997-10-01"
"642659","JURONG WEST","2001-06-01"
"640530","JURONG WEST","1983-08-01"
"644663","JURONG WEST","2000-07-01"
"350102","TOA PAYOH","1984-04-01"
"640641","JURONG WEST","1998-07-01"
"644662","JURONG WEST","2001-09-01"
"643682","JURONG WEST","2000-09-01"
"640191","JURONG WEST","1978-07-01"
"691237","TENGAH",NULL
"523859","TAMPINES",NULL
"310119","TOA PAYOH","1968-06-01"
"642271","JURONG WEST","2003-10-01"
"640765","JURONG WEST","1996-06-01"
"532985","HOUGANG","2004-03-01"
"640749","JURONG WEST","1990-08-01"
"312079","TOA PAYOH","2009-04-01"
"540249","SENGKANG","2000-05-01"
"600335","JURONG EAST","1984-06-01"
"641665","JURONG WEST","2000-04-01"
"610154","JURONG WEST","1991-04-01"
"643276","JURONG WEST","2002-03-01"
"640716","JURONG WEST","1991-02-01"
"640257","JURONG WEST","1995-06-01"
"410109","BEDOK","1989-01-01"
"390001","GEYLANG","2000-06-01"
"791410","SENGKANG","2012-11-01"
"523860","TAMPINES",NULL
"691238","TENGAH",NULL
"640413","JURONG WEST","1984-07-01"
"640553","JURONG WEST","1985-03-01"
"643183","JURONG WEST","2015-01-01"
"640204","JURONG WEST","1976-06-01"
"612175","JURONG WEST","2015-05-01"
"600345","JURONG EAST","1986-03-01"
"610115","JURONG WEST","1999-03-01"
"640467","JURONG WEST","1985-09-01"
"570246","BISHAN","1992-07-22"
"640546","JURONG WEST","1985-03-01"
"642196","JURONG WEST","2015-04-01"
"560130","ANG MO KIO","1979-01-01"
"641663","JURONG WEST","2000-07-01"
"570142","BISHAN","1988-08-01"
"642683","JURONG WEST","2000-10-01"
"643681","JURONG WEST","2000-06-01"
"640511","JURONG WEST","1984-03-01"
"640725","JURONG WEST","1989-11-01"
"610177","JURONG WEST","2001-05-01"
"641666","JURONG WEST","2000-04-01"
"640558","JURONG WEST","1985-06-01"
"643677","JURONG WEST","2008-06-01"
"640640","JURONG WEST","1998-07-01"
"822220","PUNGGOL",NULL
"640739","JURONG WEST","1995-06-01"
"640199","JURONG WEST","1976-11-01"
"791439","SENGKANG","2011-02-01"
"642658","JURONG WEST","2001-05-01"
"320059","KALLANG/WHAMPOA","1972-07-01"
"640478","JURONG WEST","1985-03-01"
"610151","JURONG WEST","1990-10-01"
"640709","JURONG WEST","1993-12-01"
"640459","JURONG WEST","1984-07-01"
"644183","JURONG WEST","2015-01-01"
"643273","JURONG WEST","2001-12-01"
"640421","JURONG WEST","1985-06-01"
"641664","JURONG WEST","2000-07-01"
"570139","BISHAN","1988-08-01"
"600319","JURONG EAST","1984-07-01"
"600108","JURONG EAST","1982-10-01"
"760820","YISHUN","1988-08-01"
"640858","JURONG WEST","1996-08-01"
"600337","JURONG EAST","1985-07-01"
"640476","JURONG WEST","1984-09-01"
"612138","JURONG WEST","2014-09-04"
"640847","JURONG WEST","1996-03-01"
"640549","JURONG WEST","1986-04-01"
"370030","GEYLANG","1973-07-01"
"600312","JURONG EAST","1984-08-01"
"600032","JURONG EAST","1981-07-01"
"640522","JURONG WEST","1982-07-01"
"610113","JURONG WEST","1971-06-01"
"640602","JURONG WEST","2001-02-01"
"642685","JURONG WEST","2000-08-01"
"642274","JURONG WEST","2002-01-01"
"641276","JURONG WEST","2002-02-01"
"550146","SERANGOON","1987-07-01"
"600216","JURONG EAST","1985-06-01"
"640408","JURONG WEST","1984-03-01"
"611331","JURONG WEST","1996-12-01"
"642180","JURONG WEST","2014-05-01"
"760750","YISHUN","1984-04-01"
"760130","YISHUN","1985-02-01"
"410669","BEDOK","1996-11-01"
"610353","JURONG WEST","1997-03-01"
"640475","JURONG WEST","1984-08-01"
"640435","JURONG WEST","1984-07-01"
"370094","GEYLANG",NULL
"640424","JURONG WEST","1984-05-01"
"640267","JURONG WEST","1998-07-01"
"570197","BISHAN","1987-01-01"
"600247","JURONG EAST","1983-06-01"
"640547","JURONG WEST","1984-08-01"
"600052","JURONG EAST","1987-03-01"
"532699","HOUGANG","1998-11-01"
"530560","HOUGANG","1992-09-19"
"640431","JURONG WEST","1985-01-01"
"600302","JURONG EAST","1983-12-01"
"600024","JURONG EAST","1993-07-01"
"760637","YISHUN","1987-09-01"
"612338","JURONG WEST","2012-03-01"
"640837","JURONG WEST","1993-05-27"
"550516","SERANGOON","1992-10-23"
"610328","JURONG WEST","1997-08-01"
"640556","JURONG WEST","1986-06-01"
"792452","SENGKANG","2015-05-01"
"640209","JURONG WEST","1976-05-01"
"760819","YISHUN","1987-10-01"
"600104","JURONG EAST","1982-10-01"
"640613","JURONG WEST","2001-01-01"
"610365","JURONG WEST","1997-08-01"
"610157","JURONG WEST","1996-02-01"
"640447","JURONG WEST","1984-06-01"
"640548","JURONG WEST","1985-04-01"
"641657","JURONG WEST","2002-04-01"
"600060","JURONG EAST","2003-08-01"
"600221","JURONG EAST","1984-07-01"
"640403","JURONG WEST","1984-06-01"
"640441","JURONG WEST","1984-08-01"
"330049","KALLANG/WHAMPOA","1974-10-01"
"820190","PUNGGOL","2004-04-01"
"550241","SERANGOON","1985-12-01"
"640215","JURONG WEST","1974-10-01"
